,source,target,frequency,mean_distance,pv (fisher),pv (ws),value
483,s|N,s|N|N,1,1.0,0.0005364806866948,0.00109,1
166,s|S,s|S|S,1,1.0,0.0005364806866948,0.00109,1
1115,s|orf1ab,s|orf1ab|NSP2,1,1.0,0.0005364806866948,0.00109,1
421,s|orf1ab,s|orf1ab|NSP1,1,1.0,0.0005364806866948,0.00109,1
760,s|orf1ab,s|orf1ab|NSP7,1,1.0,0.0005364806866948,0.00109,1
1302,s|orf1ab,s|orf1ab|NSP8,1,1.0,0.0005364806866948,0.00109,1
646,s|S,s|S|S,2,1.0,5.759320308056989e-07,0.0,1
216,s|orf1ab,s|orf1ab|NSP9,16,1.0,1.0508040986514228e-39,0.0,1
1607,s|ORF6,s|ORF6|ORF6,1,1.0,0.0005364806866948,0.00109,1
561,s|orf1ab,s|orf1ab|NSP9,1,1.0,0.0005364806866948,0.00109,1
483,s|N|N,s|N|N|LINK,1,1.0,0.0005364806866948,0.00109,1
166,s|S|S,s|S|S|NTD,1,1.0,0.0005364806866948,0.00109,1
1115,s|orf1ab|NSP2,s|orf1ab|NSP2|NSP2,1,1.0,0.0005364806866948,0.00109,1
421,s|orf1ab|NSP1,s|orf1ab|NSP1|NSP1,1,1.0,0.0005364806866948,0.00109,1
760,s|orf1ab|NSP7,s|orf1ab|NSP7|NSP7,1,1.0,0.0005364806866948,0.00109,1
1302,s|orf1ab|NSP8,s|orf1ab|NSP8|NSP8,1,1.0,0.0005364806866948,0.00109,1
17,s|S|S,s|S|S|HR1,1,1.0,0.0005364806866948,0.00109,1
646,s|S|S,s|S|S|NTD,2,1.0,5.759320308056989e-07,0.0,1
216,s|orf1ab|NSP9,s|orf1ab|NSP9|NSP9,16,1.0,1.0508040986514228e-39,0.0,1
1335,s|N|N,s|N|N|RBD,1,1.0,0.0005364806866948,0.00109,1
1607,s|ORF6|ORF6,s|ORF6|ORF6|orf6,1,1.0,0.0005364806866948,0.00109,1
561,s|orf1ab|NSP9,s|orf1ab|NSP9|NSP9,1,1.0,0.0005364806866948,0.00109,1
483,s|N|N|LINK,t|LINK|N|N,1,1.0,0.0005364806866948,0.00109,1
166,s|S|S|NTD,t|LINK|N|N,1,1.0,0.0005364806866948,0.00109,1
1115,s|orf1ab|NSP2|NSP2,t|CD|S|S,1,1.0,0.0005364806866948,0.00109,1
1552,s|S|S|NTD,t|NTD|S|S,1,1.0,0.0005364806866948,0.00109,1
1475,s|orf1ab|NSP2|NSP2,t|NSP2|NSP2|orf1ab,1,1.0,0.0005364806866948,0.00109,1
421,s|orf1ab|NSP1|NSP1,t|NSP2|NSP2|orf1ab,1,1.0,0.0005364806866948,0.00109,1
1156,s|orf1ab|NSP2|NSP2,t|NTD|S|S,1,1.0,0.0005364806866948,0.00109,1
760,s|orf1ab|NSP7|NSP7,t|NSP2|NSP2|orf1ab,1,1.0,0.0005364806866948,0.00109,1
1302,s|orf1ab|NSP8|NSP8,t|CD|S|S,1,1.0,0.0005364806866948,0.00109,1
17,s|S|S|HR1,t|HR1|S|S,1,1.0,0.0005364806866948,0.00109,1
646,s|S|S|NTD,t|NTD|S|S,2,1.0,5.759320308056989e-07,0.0,1
776,s|orf1ab|NSP2|NSP2,t|NSP7|NSP7|orf1ab,1,1.0,0.0005364806866948,0.00109,1
216,s|orf1ab|NSP9|NSP9,t|NSP2|NSP2|orf1ab,16,1.0,1.0508040986514228e-39,0.0,1
819,s|orf1ab|NSP2|NSP2,t|RBD|S|S,1,1.0,0.0005364806866948,0.00109,1
1335,s|N|N|RBD,t|LINK|N|N,1,1.0,0.0005364806866948,0.00109,1
290,s|S|S|HR1,t|HR2|S|S,1,1.0,0.0005364806866948,0.00109,1
1607,s|ORF6|ORF6|orf6,t|NTD|N|N,1,1.0,0.0005364806866948,0.00109,1
1049,s|orf1ab|NSP8|NSP8,t|NSP9|NSP9|orf1ab,1,1.0,0.0005364806866948,0.00109,1
561,s|orf1ab|NSP9|NSP9,t|RBD|S|S,1,1.0,0.0005364806866948,0.00109,1
769,s|S|S|NTD,t|Dimerisation|N|N,1,1.0,0.0005364806866948,0.00109,1
854,s|orf1ab|NSP2|NSP2,t|NTD|N|N,1,1.0,0.0005364806866948,0.00109,1
483,t|LINK|N|N,t|N|N,1,1.0,0.0005364806866948,0.00109,1
1115,t|CD|S|S,t|S|S,1,1.0,0.0005364806866948,0.00109,1
1552,t|NTD|S|S,t|S|S,1,1.0,0.0005364806866948,0.00109,1
1475,t|NSP2|NSP2|orf1ab,t|NSP2|orf1ab,1,1.0,0.0005364806866948,0.00109,1
17,t|HR1|S|S,t|S|S,1,1.0,0.0005364806866948,0.00109,1
646,t|NTD|S|S,t|S|S,2,1.0,5.759320308056989e-07,0.0,1
776,t|NSP7|NSP7|orf1ab,t|NSP7|orf1ab,1,1.0,0.0005364806866948,0.00109,1
216,t|NSP2|NSP2|orf1ab,t|NSP2|orf1ab,16,1.0,1.0508040986514228e-39,0.0,1
819,t|RBD|S|S,t|S|S,1,1.0,0.0005364806866948,0.00109,1
290,t|HR2|S|S,t|S|S,1,1.0,0.0005364806866948,0.00109,1
1607,t|NTD|N|N,t|N|N,1,1.0,0.0005364806866948,0.00109,1
1049,t|NSP9|NSP9|orf1ab,t|NSP9|orf1ab,1,1.0,0.0005364806866948,0.00109,1
769,t|Dimerisation|N|N,t|N|N,1,1.0,0.0005364806866948,0.00109,1
483,t|N|N,t|N,1,1.0,0.0005364806866948,0.00109,1
1115,t|S|S,t|S,1,1.0,0.0005364806866948,0.00109,1
1475,t|NSP2|orf1ab,t|orf1ab,1,1.0,0.0005364806866948,0.00109,1
646,t|S|S,t|S,2,1.0,5.759320308056989e-07,0.0,1
776,t|NSP7|orf1ab,t|orf1ab,1,1.0,0.0005364806866948,0.00109,1
216,t|NSP2|orf1ab,t|orf1ab,16,1.0,1.0508040986514228e-39,0.0,1
1049,t|NSP9|orf1ab,t|orf1ab,1,1.0,0.0005364806866948,0.00109,1
