,source,target,frequency,mean_distance,pv (fisher),pv (ws),value
753,s|orf1ab,s|orf1ab|NSP7,1,1.0,0.0005364806866948,0.0018,1
959,s|orf1ab,s|orf1ab|NSP8,1,1.0,0.0005364806866948,0.0018,1
1013,s|orf1ab,s|orf1ab|NSP2,1,1.0,0.0005364806866948,0.0018,1
1061,s|S,s|S|S,1,1.0,0.0005364806866948,0.0018,1
9,s|ORF6,s|ORF6|ORF6,2,1.0,5.759320308056989e-07,0.0,1
211,s|N,s|N|N,1,1.0,0.0005364806866948,0.0018,1
655,s|orf1ab,s|orf1ab|NSP1,1,1.0,0.0005364806866948,0.0018,1
614,s|orf1ab,s|orf1ab|NSP9,1,1.0,0.0005364806866948,0.0018,1
279,s|orf1ab,s|orf1ab|NSP9,15,1.0,1.0508040986514228e-39,0.0,1
676,s|S,s|S|S,2,1.0,5.759320308056989e-07,0.0,1
61,s|N,s|N|N,7,1.0,6.519400780069743e-20,0.0,1
161,s|N,s|N|N,2,1.0,5.759320308056989e-07,0.0,1
1472,s|ORF6,s|ORF6|ORF6,1,1.0,0.0005364806866948,0.0018,1
753,s|orf1ab|NSP7,s|orf1ab|NSP7|NSP7,1,1.0,0.0005364806866948,0.0018,1
959,s|orf1ab|NSP8,s|orf1ab|NSP8|NSP8,1,1.0,0.0005364806866948,0.0018,1
1013,s|orf1ab|NSP2,s|orf1ab|NSP2|NSP2,1,1.0,0.0005364806866948,0.0018,1
1061,s|S|S,s|S|S|NTD,1,1.0,0.0005364806866948,0.0018,1
347,s|S|S,s|S|S|HR1,1,1.0,0.0005364806866948,0.0018,1
9,s|ORF6|ORF6,s|ORF6|ORF6|orf6,2,1.0,5.759320308056989e-07,0.0,1
211,s|N|N,s|N|N|NTD,1,1.0,0.0005364806866948,0.0018,1
1213,s|N|N,s|N|N|RBD,1,1.0,0.0005364806866948,0.0018,1
523,s|N|N,s|N|N|LINK,1,1.0,0.0005364806866948,0.0018,1
655,s|orf1ab|NSP1,s|orf1ab|NSP1|NSP1,1,1.0,0.0005364806866948,0.0018,1
614,s|orf1ab|NSP9,s|orf1ab|NSP9|NSP9,1,1.0,0.0005364806866948,0.0018,1
279,s|orf1ab|NSP9,s|orf1ab|NSP9|NSP9,15,1.0,1.0508040986514228e-39,0.0,1
676,s|S|S,s|S|S|NTD,2,1.0,5.759320308056989e-07,0.0,1
357,s|S|S,s|S|S|RBD,1,1.0,0.0005364806866948,0.0018,1
61,s|N|N,s|N|N|LINK,7,1.0,6.519400780069743e-20,0.0,1
161,s|N|N,s|N|N|LINK,2,1.0,5.759320308056989e-07,0.0,1
1472,s|ORF6|ORF6,s|ORF6|ORF6|orf6,1,1.0,0.0005364806866948,0.0018,1
753,s|orf1ab|NSP7|NSP7,t|NSP2|NSP2|orf1ab,1,1.0,0.0005364806866948,0.0018,1
959,s|orf1ab|NSP8|NSP8,t|NSP9|NSP9|orf1ab,1,1.0,0.0005364806866948,0.0018,1
1013,s|orf1ab|NSP2|NSP2,t|CD|S|S,1,1.0,0.0005364806866948,0.0018,1
1061,s|S|S|NTD,t|NTD|S|S,1,1.0,0.0005364806866948,0.0018,1
347,s|S|S|HR1,t|HR2|S|S,1,1.0,0.0005364806866948,0.0018,1
18,s|S|S|HR1,t|HR1|S|S,1,1.0,0.0005364806866948,0.0018,1
9,s|ORF6|ORF6|orf6,t|orf6|ORF6|ORF6,2,1.0,5.759320308056989e-07,0.0,1
211,s|N|N|NTD,t|NTD|N|N,1,1.0,0.0005364806866948,0.0018,1
1213,s|N|N|RBD,t|LINK|N|N,1,1.0,0.0005364806866948,0.0018,1
523,s|N|N|LINK,t|LINK|N|N,1,1.0,0.0005364806866948,0.0018,1
1324,s|orf1ab|NSP2|NSP2,t|NSP2|NSP2|orf1ab,1,1.0,0.0005364806866948,0.0018,1
655,s|orf1ab|NSP1|NSP1,t|NSP2|NSP2|orf1ab,1,1.0,0.0005364806866948,0.0018,1
1041,s|orf1ab|NSP2|NSP2,t|NTD|S|S,1,1.0,0.0005364806866948,0.0018,1
614,s|orf1ab|NSP9|NSP9,t|RBD|S|S,1,1.0,0.0005364806866948,0.0018,1
279,s|orf1ab|NSP9|NSP9,t|NSP2|NSP2|orf1ab,15,1.0,1.0508040986514228e-39,0.0,1
676,s|S|S|NTD,t|NTD|S|S,2,1.0,5.759320308056989e-07,0.0,1
357,s|S|S|RBD,t|RBD|S|S,1,1.0,0.0005364806866948,0.0018,1
61,s|N|N|LINK,t|LINK|N|N,7,1.0,6.519400780069743e-20,0.0,1
161,s|N|N|LINK,t|CTD|N|N,2,1.0,5.759320308056989e-07,0.0,1
1472,s|ORF6|ORF6|orf6,t|NTD|N|N,1,1.0,0.0005364806866948,0.0018,1
753,t|NSP2|NSP2|orf1ab,t|NSP2|orf1ab,1,1.0,0.0005364806866948,0.0018,1
959,t|NSP9|NSP9|orf1ab,t|NSP9|orf1ab,1,1.0,0.0005364806866948,0.0018,1
1013,t|CD|S|S,t|S|S,1,1.0,0.0005364806866948,0.0018,1
1061,t|NTD|S|S,t|S|S,1,1.0,0.0005364806866948,0.0018,1
347,t|HR2|S|S,t|S|S,1,1.0,0.0005364806866948,0.0018,1
18,t|HR1|S|S,t|S|S,1,1.0,0.0005364806866948,0.0018,1
9,t|orf6|ORF6|ORF6,t|ORF6|ORF6,2,1.0,5.759320308056989e-07,0.0,1
211,t|NTD|N|N,t|N|N,1,1.0,0.0005364806866948,0.0018,1
1213,t|LINK|N|N,t|N|N,1,1.0,0.0005364806866948,0.0018,1
614,t|RBD|S|S,t|S|S,1,1.0,0.0005364806866948,0.0018,1
279,t|NSP2|NSP2|orf1ab,t|NSP2|orf1ab,15,1.0,1.0508040986514228e-39,0.0,1
676,t|NTD|S|S,t|S|S,2,1.0,5.759320308056989e-07,0.0,1
61,t|LINK|N|N,t|N|N,7,1.0,6.519400780069743e-20,0.0,1
161,t|CTD|N|N,t|N|N,2,1.0,5.759320308056989e-07,0.0,1
753,t|NSP2|orf1ab,t|orf1ab,1,1.0,0.0005364806866948,0.0018,1
959,t|NSP9|orf1ab,t|orf1ab,1,1.0,0.0005364806866948,0.0018,1
1013,t|S|S,t|S,1,1.0,0.0005364806866948,0.0018,1
9,t|ORF6|ORF6,t|ORF6,2,1.0,5.759320308056989e-07,0.0,1
211,t|N|N,t|N,1,1.0,0.0005364806866948,0.0018,1
279,t|NSP2|orf1ab,t|orf1ab,15,1.0,1.0508040986514228e-39,0.0,1
676,t|S|S,t|S,2,1.0,5.759320308056989e-07,0.0,1
61,t|N|N,t|N,7,1.0,6.519400780069743e-20,0.0,1
161,t|N|N,t|N,2,1.0,5.759320308056989e-07,0.0,1
