,source,target,frequency,mean_distance,pv (fisher),pv (ws),value
5579,s|N,s|N|N,1,1.0,0.0005025125628149,0.00104,1
4005,s|S,s|S|S,2,2.0,3.864558583109583e-15,0.0,1
3024,s|S,s|S|S,2,2.0,7.550107560727665e-25,0.0,1
6613,s|orf1ab,s|orf1ab|NSP2,1,1.0,0.0005025125628149,0.00104,1
3950,s|S,s|S|S,2,2.0,5.052916669843416e-07,0.0,1
4465,s|orf1ab,s|orf1ab|NSP1,1,1.0,0.0005025125628149,0.00104,1
6200,s|orf1ab,s|orf1ab|NSP8,1,1.0,0.0005025125628149,0.00104,1
5273,s|M,s|M|M,1,1.0,0.0005025125628149,0.00104,1
22,s|S,s|S|S,456,1.3070175438596492,0.0,0.0,1
4860,s|S,s|S|S,4,1.5,7.62512575931249e-10,0.0,1
202,s|S,s|S|S,140,2.0,0.0,0.0,1
1210,s|S,s|S|S,116,2.0,0.0,0.0,1
6616,s|ORF6,s|ORF6|ORF6,1,1.0,0.0005025125628149,0.00104,1
2806,s|S,s|S|S,20,2.0,2.8533325013888745e-110,0.0,1
5360,s|S,s|S|S,1,1.0,0.0005025125628149,0.00104,1
5579,s|N|N,s|N|N|NTD,1,1.0,0.0005025125628149,0.00104,1
4005,s|S|S,s|S|S|NTD,2,2.0,3.864558583109583e-15,0.0,1
3024,s|S|S,s|S|S|HR1,2,2.0,7.550107560727665e-25,0.0,1
6613,s|orf1ab|NSP2,s|orf1ab|NSP2|NSP2,1,1.0,0.0005025125628149,0.00104,1
3950,s|S|S,s|S|S|CD,2,2.0,5.052916669843416e-07,0.0,1
4465,s|orf1ab|NSP1,s|orf1ab|NSP1|NSP1,1,1.0,0.0005025125628149,0.00104,1
6200,s|orf1ab|NSP8,s|orf1ab|NSP8|NSP8,1,1.0,0.0005025125628149,0.00104,1
5273,s|M|M,s|M|M|TMIII,1,1.0,0.0005025125628149,0.00104,1
22,s|S|S,s|S|S|HR1,456,1.3070175438596492,0.0,0.0,1
4860,s|S|S,s|S|S|NTD,4,1.5,7.62512575931249e-10,0.0,1
5359,s|N|N,s|N|N|Dimerisation,1,1.0,0.0005025125628149,0.00104,1
202,s|S|S,s|S|S|RBD,140,2.0,0.0,0.0,1
1210,s|S|S,s|S|S|NTD,116,2.0,0.0,0.0,1
6616,s|ORF6|ORF6,s|ORF6|ORF6|orf6,1,1.0,0.0005025125628149,0.00104,1
2806,s|S|S,s|S|S|RBD,20,2.0,2.8533325013888745e-110,0.0,1
5360,s|S|S,s|S|S|RBD,1,1.0,0.0005025125628149,0.00104,1
5579,s|N|N|NTD,t|LINK|N|N,1,1.0,0.0005025125628149,0.00104,1
4005,s|S|S|NTD,t|CTD|E|E,2,2.0,3.864558583109583e-15,0.0,1
3024,s|S|S|HR1,t|NTD|N|N,2,2.0,7.550107560727665e-25,0.0,1
6613,s|orf1ab|NSP2|NSP2,t|NSP2|NSP2|orf1ab,1,1.0,0.0005025125628149,0.00104,1
3950,s|S|S|CD,t|LINK|N|N,2,2.0,5.052916669843416e-07,0.0,1
4465,s|orf1ab|NSP1|NSP1,t|NSP2|NSP2|orf1ab,1,1.0,0.0005025125628149,0.00104,1
6200,s|orf1ab|NSP8|NSP8,t|NSP8|NSP8|orf1ab,1,1.0,0.0005025125628149,0.00104,1
5273,s|M|M|TMIII,t|cytoplasmic|M|M,1,1.0,0.0005025125628149,0.00104,1
22,s|S|S|HR1,t|HR1|S|S,456,1.3070175438596492,0.0,0.0,1
4860,s|S|S|NTD,t|NTD|S|S,4,1.5,7.62512575931249e-10,0.0,1
5054,s|orf1ab|NSP2|NSP2,t|NSP7|NSP7|orf1ab,1,1.0,0.0005025125628149,0.00104,1
5359,s|N|N|Dimerisation,t|Dimerisation|N|N,1,1.0,0.0005025125628149,0.00104,1
202,s|S|S|RBD,t|RBD|S|S,140,2.0,0.0,0.0,1
1210,s|S|S|NTD,t|RBD|S|S,116,2.0,0.0,0.0,1
6616,s|ORF6|ORF6|orf6,t|NTD|N|N,1,1.0,0.0005025125628149,0.00104,1
5567,s|orf1ab|NSP8|NSP8,t|NSP9|NSP9|orf1ab,1,1.0,0.0005025125628149,0.00104,1
2806,s|S|S|RBD,t|HR1|S|S,20,2.0,2.8533325013888745e-110,0.0,1
5360,s|S|S|RBD,t|RBD|S|S,1,1.0,0.0005025125628149,0.00104,1
5579,t|LINK|N|N,t|N|N,1,1.0,0.0005025125628149,0.00104,1
4005,t|CTD|E|E,t|E|E,2,2.0,3.864558583109583e-15,0.0,1
3024,t|NTD|N|N,t|N|N,2,2.0,7.550107560727665e-25,0.0,1
6613,t|NSP2|NSP2|orf1ab,t|NSP2|orf1ab,1,1.0,0.0005025125628149,0.00104,1
3950,t|LINK|N|N,t|N|N,2,2.0,5.052916669843416e-07,0.0,1
6200,t|NSP8|NSP8|orf1ab,t|NSP8|orf1ab,1,1.0,0.0005025125628149,0.00104,1
5273,t|cytoplasmic|M|M,t|M|M,1,1.0,0.0005025125628149,0.00104,1
22,t|HR1|S|S,t|S|S,456,1.3070175438596492,0.0,0.0,1
4860,t|NTD|S|S,t|S|S,4,1.5,7.62512575931249e-10,0.0,1
5054,t|NSP7|NSP7|orf1ab,t|NSP7|orf1ab,1,1.0,0.0005025125628149,0.00104,1
5359,t|Dimerisation|N|N,t|N|N,1,1.0,0.0005025125628149,0.00104,1
202,t|RBD|S|S,t|S|S,140,2.0,0.0,0.0,1
1210,t|RBD|S|S,t|S|S,116,2.0,0.0,0.0,1
6616,t|NTD|N|N,t|N|N,1,1.0,0.0005025125628149,0.00104,1
5567,t|NSP9|NSP9|orf1ab,t|NSP9|orf1ab,1,1.0,0.0005025125628149,0.00104,1
2806,t|HR1|S|S,t|S|S,20,2.0,2.8533325013888745e-110,0.0,1
5360,t|RBD|S|S,t|S|S,1,1.0,0.0005025125628149,0.00104,1
5579,t|N|N,t|N,1,1.0,0.0005025125628149,0.00104,1
4005,t|E|E,t|E,2,2.0,3.864558583109583e-15,0.0,1
3024,t|N|N,t|N,2,2.0,7.550107560727665e-25,0.0,1
6613,t|NSP2|orf1ab,t|orf1ab,1,1.0,0.0005025125628149,0.00104,1
3950,t|N|N,t|N,2,2.0,5.052916669843416e-07,0.0,1
6200,t|NSP8|orf1ab,t|orf1ab,1,1.0,0.0005025125628149,0.00104,1
5273,t|M|M,t|M,1,1.0,0.0005025125628149,0.00104,1
22,t|S|S,t|S,456,1.3070175438596492,0.0,0.0,1
4860,t|S|S,t|S,4,1.5,7.62512575931249e-10,0.0,1
5054,t|NSP7|orf1ab,t|orf1ab,1,1.0,0.0005025125628149,0.00104,1
202,t|S|S,t|S,140,2.0,0.0,0.0,1
1210,t|S|S,t|S,116,2.0,0.0,0.0,1
5567,t|NSP9|orf1ab,t|orf1ab,1,1.0,0.0005025125628149,0.00104,1
2806,t|S|S,t|S,20,2.0,2.8533325013888745e-110,0.0,1
5360,t|S|S,t|S,1,1.0,0.0005025125628149,0.00104,1
