,source,target,pv (ws),value
14392,s|S,s|S|S,0.00012,1
11075,s|S,s|S|S,1e-05,1
11067,s|S,s|S|S,0.00037,1
11071,s|S,s|S|S,0.0339,1
11070,s|S,s|S|S,0.0104,1
11023,s|S,s|S|S,0.021,1
11076,s|S,s|S|S,0.0,1
11080,s|S,s|S|S,2e-05,1
11032,s|S,s|S|S,0.00747,1
11046,s|S,s|S|S,0.005,1
11055,s|S,s|S|S,0.00314,1
14000,s|orf1ab,s|orf1ab|NSP2,0.0287,1
14003,s|orf1ab,s|orf1ab|NSP2,0.0289,1
14011,s|orf1ab,s|orf1ab|NSP2,0.033,1
13596,s|S,s|S|S,0.0289,1
13595,s|S,s|S|S,0.0287,1
13594,s|S,s|S|S,0.033,1
13582,s|S,s|S|S,0.0292,1
10575,s|N,s|N|N,0.00404,1
10577,s|N,s|N|N,0.00144,1
10574,s|N,s|N|N,3e-05,1
10576,s|N,s|N|N,2e-05,1
10573,s|N,s|N|N,0.0,1
10567,s|N,s|N|N,0.0373,1
10570,s|N,s|N|N,0.00041,1
10572,s|N,s|N|N,0.00633,1
10608,s|N,s|N|N,0.00051,1
10619,s|N,s|N|N,0.021,1
10618,s|N,s|N|N,0.00873,1
10614,s|N,s|N|N,0.00047,1
10610,s|N,s|N|N,0.00086,1
10592,s|N,s|N|N,4e-05,1
10534,s|N,s|N|N,0.00223,1
7813,s|S,s|S|S,0.0101,1
7864,s|S,s|S|S,0.0315,1
7868,s|S,s|S|S,0.00183,1
7820,s|S,s|S|S,0.0194,1
7831,s|S,s|S|S,0.00516,1
7858,s|S,s|S|S,0.00101,1
7885,s|S,s|S|S,0.00279,1
7892,s|S,s|S|S,9e-05,1
14135,s|S,s|S|S,3e-05,1
6809,s|orf1ab,s|orf1ab|NSP2,0.0308,1
13187,s|S,s|S|S,0.00583,1
13186,s|S,s|S|S,0.0218,1
13191,s|S,s|S|S,0.0133,1
13197,s|S,s|S|S,0.00093,1
13219,s|S,s|S|S,4e-05,1
13209,s|S,s|S|S,0.0341,1
3815,s|orf1ab,s|orf1ab|NSP1,0.00885,1
12512,s|S,s|S|S,0.00418,1
12497,s|S,s|S|S,0.0384,1
12488,s|S,s|S|S,0.00107,1
12506,s|S,s|S|S,0.00103,1
12472,s|S,s|S|S,0.05,1
12473,s|S,s|S|S,0.00039,1
3268,s|S,s|S|S,0.0361,1
3197,s|S,s|S|S,0.0318,1
3264,s|S,s|S|S,0.0388,1
3270,s|S,s|S|S,0.0029,1
3272,s|S,s|S|S,0.0496,1
3258,s|S,s|S|S,0.031,1
3286,s|S,s|S|S,6e-05,1
13652,s|N,s|N|N,0.00857,1
13653,s|N,s|N|N,0.00813,1
13656,s|N,s|N|N,0.00862,1
13664,s|N,s|N|N,0.00957,1
6811,s|orf1ab,s|orf1ab|NSP2,0.00516,1
6810,s|orf1ab,s|orf1ab|NSP2,0.0148,1
6829,s|orf1ab,s|orf1ab|NSP2,0.0104,1
6828,s|orf1ab,s|orf1ab|NSP2,0.0218,1
6816,s|orf1ab,s|orf1ab|NSP2,0.014,1
6817,s|orf1ab,s|orf1ab|NSP2,0.00028,1
6819,s|orf1ab,s|orf1ab|NSP2,0.0125,1
6837,s|orf1ab,s|orf1ab|NSP2,0.0292,1
6832,s|orf1ab,s|orf1ab|NSP2,0.0256,1
13353,s|S,s|S|S,0.0256,1
13350,s|S,s|S|S,0.0014,1
13373,s|S,s|S|S,7e-05,1
13362,s|S,s|S|S,0.0406,1
13338,s|S,s|S|S,0.00836,1
13343,s|S,s|S|S,0.0167,1
13491,s|S,s|S|S,0.0125,1
13496,s|S,s|S|S,0.00047,1
13484,s|S,s|S|S,0.00305,1
13508,s|S,s|S|S,0.0225,1
13489,s|S,s|S|S,0.0073,1
14137,s|ORF10,s|ORF10|ORF10,0.00096,1
7170,s|orf1ab,s|orf1ab|NSP8,0.0308,1
903,s|orf1ab,s|orf1ab|NSP1,0.0,1
904,s|orf1ab,s|orf1ab|NSP1,0.00286,1
905,s|orf1ab,s|orf1ab|NSP1,0.00325,1
906,s|orf1ab,s|orf1ab|NSP1,0.0308,1
7311,s|S,s|S|S,0.0148,1
7317,s|S,s|S|S,0.014,1
193,s|E,s|E|E,0.00989,1
194,s|E,s|E|E,0.01,1
3483,s|orf1ab,s|orf1ab|NSP1,0.00989,1
3484,s|orf1ab,s|orf1ab|NSP1,0.01,1
9115,s|S,s|S|S,0.00018,1
9165,s|S,s|S|S,0.0469,1
9168,s|S,s|S|S,0.00073,1
