Sequence_Name,AC-AAA,AC-AAC,AC-AAG,AC-AAT,AC-CAA,AC-CAC,AC-CAG,AC-CAT,AC-GAA,AC-GAC,AC-GAG,AC-GAT,AC-TAA,AC-TAC,AC-TAG,AC-TAT,AG-AAA,AG-AAC,AG-AAG,AG-AAT,AG-CAA,AG-CAC,AG-CAG,AG-CAT,AG-GAA,AG-GAC,AG-GAG,AG-GAT,AG-TAA,AG-TAC,AG-TAG,AG-TAT,AT-AAA,AT-AAC,AT-AAG,AT-AAT,AT-CAA,AT-CAC,AT-CAG,AT-CAT,AT-GAA,AT-GAC,AT-GAG,AT-GAT,AT-TAA,AT-TAC,AT-TAG,AT-TAT,CA-ACA,CA-ACC,CA-ACG,CA-ACT,CA-CCA,CA-CCC,CA-CCG,CA-CCT,CA-GCA,CA-GCC,CA-GCG,CA-GCT,CA-TCA,CA-TCC,CA-TCG,CA-TCT,CG-ACA,CG-ACC,CG-ACG,CG-ACT,CG-CCA,CG-CCC,CG-CCG,CG-CCT,CG-GCA,CG-GCC,CG-GCG,CG-GCT,CG-TCA,CG-TCC,CG-TCG,CG-TCT,CT-ACA,CT-ACC,CT-ACG,CT-ACT,CT-CCA,CT-CCC,CT-CCG,CT-CCT,CT-GCA,CT-GCC,CT-GCG,CT-GCT,CT-TCA,CT-TCC,CT-TCG,CT-TCT,GA-AGA,GA-AGC,GA-AGG,GA-AGT,GA-CGA,GA-CGC,GA-CGG,GA-CGT,GA-GGA,GA-GGC,GA-GGG,GA-GGT,GA-TGA,GA-TGC,GA-TGG,GA-TGT,GC-AGA,GC-AGC,GC-AGG,GC-AGT,GC-CGA,GC-CGC,GC-CGG,GC-CGT,GC-GGA,GC-GGC,GC-GGG,GC-GGT,GC-TGA,GC-TGC,GC-TGG,GC-TGT,GT-AGA,GT-AGC,GT-AGG,GT-AGT,GT-CGA,GT-CGC,GT-CGG,GT-CGT,GT-GGA,GT-GGC,GT-GGG,GT-GGT,GT-TGA,GT-TGC,GT-TGG,GT-TGT,TA-ATA,TA-ATC,TA-ATG,TA-ATT,TA-CTA,TA-CTC,TA-CTG,TA-CTT,TA-GTA,TA-GTC,TA-GTG,TA-GTT,TA-TTA,TA-TTC,TA-TTG,TA-TTT,TC-ATA,TC-ATC,TC-ATG,TC-ATT,TC-CTA,TC-CTC,TC-CTG,TC-CTT,TC-GTA,TC-GTC,TC-GTG,TC-GTT,TC-TTA,TC-TTC,TC-TTG,TC-TTT,TG-ATA,TG-ATC,TG-ATG,TG-ATT,TG-CTA,TG-CTC,TG-CTG,TG-CTT,TG-GTA,TG-GTC,TG-GTG,TG-GTT,TG-TTA,TG-TTC,TG-TTG,TG-TTT
AY.127|B.1.617.2.127|AY.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,3,2,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AY.21|B.1.617.2.21|AY.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,3,2,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
C.14|B.1.1.1.14|C.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.1.549|B.1.549|B.1.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.17|B.1.1.1.17|C.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.1.218|B.1.218|B.1.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA.2.20|B.1.1.529.2.20|BA.2.20,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,6,0,2,0,2,0,0,0,1,1,2,1,4,0,2,1,0,0,0,0,0,0,1,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
B.1.469|B.1.469|B.1.469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA.2.75.1|B.1.1.529.2.75.1|BA.2.75.1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,2,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,6,0,2,0,2,0,0,0,1,3,3,1,6,0,2,2,0,0,0,1,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0
C.18|B.1.1.1.18|C.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
